#Tenant,ID,Contexts,FilterIDs,ActivationInterval,AttributeFilterIDs,FieldName,Type,Value,Blocker,Weight
masmovil,MASMOVIL_SUBJECT_PREFIX_TRANSLATION_0034,*cdrs,*prefix:~Subject:0034,,,Subject,*constant,ZONE_NATIONAL,false,0
masmovil,MASMOVIL_SUBJECT_PREFIX_TRANSLATION_00262,*cdrs,*prefix:~Subject:00262,,,Subject,*constant,ZONE_1,false,0
masmovil,MASMOVIL_SUBJECT_PREFIX_TRANSLATION_0030,*cdrs,*prefix:~Subject:0030,,,Subject,*constant,ZONE_1,false,0
masmovil,MASMOVIL_SUBJECT_PREFIX_TRANSLATION_0031,*cdrs,*prefix:~Subject:0031,,,Subject,*constant,ZONE_1,false,0
masmovil,MASMOVIL_SUBJECT_PREFIX_TRANSLATION_0032,*cdrs,*prefix:~Subject:0032,,,Subject,*constant,ZONE_1,false,0
masmovil,MASMOVIL_SUBJECT_PREFIX_TRANSLATION_0033,*cdrs,*prefix:~Subject:0033,,,Subject,*constant,ZONE_1,false,0
masmovil,MASMOVIL_SUBJECT_PREFIX_TRANSLATION_00350,*cdrs,*prefix:~Subject:00350,,,Subject,*constant,ZONE_1,false,0
masmovil,MASMOVIL_SUBJECT_PREFIX_TRANSLATION_00351,*cdrs,*prefix:~Subject:00351,,,Subject,*constant,ZONE_1,false,0
masmovil,MASMOVIL_SUBJECT_PREFIX_TRANSLATION_00352,*cdrs,*prefix:~Subject:00352,,,Subject,*constant,ZONE_1,false,0
masmovil,MASMOVIL_SUBJECT_PREFIX_TRANSLATION_00353,*cdrs,*prefix:~Subject:00353,,,Subject,*constant,ZONE_1,false,0
masmovil,MASMOVIL_SUBJECT_PREFIX_TRANSLATION_00354,*cdrs,*prefix:~Subject:00354,,,Subject,*constant,ZONE_1,false,0
masmovil,MASMOVIL_SUBJECT_PREFIX_TRANSLATION_00356,*cdrs,*prefix:~Subject:00356,,,Subject,*constant,ZONE_1,false,0
masmovil,MASMOVIL_SUBJECT_PREFIX_TRANSLATION_00357,*cdrs,*prefix:~Subject:00357,,,Subject,*constant,ZONE_1,false,0
masmovil,MASMOVIL_SUBJECT_PREFIX_TRANSLATION_00358,*cdrs,*prefix:~Subject:00358,,,Subject,*constant,ZONE_1,false,0
masmovil,MASMOVIL_SUBJECT_PREFIX_TRANSLATION_00359,*cdrs,*prefix:~Subject:00359,,,Subject,*constant,ZONE_1,false,0
masmovil,MASMOVIL_SUBJECT_PREFIX_TRANSLATION_0036,*cdrs,*prefix:~Subject:0036,,,Subject,*constant,ZONE_1,false,0
masmovil,MASMOVIL_SUBJECT_PREFIX_TRANSLATION_00370,*cdrs,*prefix:~Subject:00370,,,Subject,*constant,ZONE_1,false,0
masmovil,MASMOVIL_SUBJECT_PREFIX_TRANSLATION_00371,*cdrs,*prefix:~Subject:00371,,,Subject,*constant,ZONE_1,false,0
masmovil,MASMOVIL_SUBJECT_PREFIX_TRANSLATION_00372,*cdrs,*prefix:~Subject:00372,,,Subject,*constant,ZONE_1,false,0
masmovil,MASMOVIL_SUBJECT_PREFIX_TRANSLATION_00385,*cdrs,*prefix:~Subject:00385,,,Subject,*constant,ZONE_1,false,0
masmovil,MASMOVIL_SUBJECT_PREFIX_TRANSLATION_00386,*cdrs,*prefix:~Subject:00386,,,Subject,*constant,ZONE_1,false,0
masmovil,MASMOVIL_SUBJECT_PREFIX_TRANSLATION_0039,*cdrs,*prefix:~Subject:0039,,,Subject,*constant,ZONE_1,false,0
masmovil,MASMOVIL_SUBJECT_PREFIX_TRANSLATION_0040,*cdrs,*prefix:~Subject:0040,,,Subject,*constant,ZONE_1,false,0
masmovil,MASMOVIL_SUBJECT_PREFIX_TRANSLATION_00420,*cdrs,*prefix:~Subject:00420,,,Subject,*constant,ZONE_1,false,0
masmovil,MASMOVIL_SUBJECT_PREFIX_TRANSLATION_00421,*cdrs,*prefix:~Subject:00421,,,Subject,*constant,ZONE_1,false,0
masmovil,MASMOVIL_SUBJECT_PREFIX_TRANSLATION_00423,*cdrs,*prefix:~Subject:00423,,,Subject,*constant,ZONE_1,false,0
masmovil,MASMOVIL_SUBJECT_PREFIX_TRANSLATION_0043,*cdrs,*prefix:~Subject:0043,,,Subject,*constant,ZONE_1,false,0
masmovil,MASMOVIL_SUBJECT_PREFIX_TRANSLATION_0044,*cdrs,*prefix:~Subject:0044,,,Subject,*constant,ZONE_1,false,0
