#Id,DestinationId,RatesTag,RoundingMethod,RoundingDecimals,MaxCost,MaxCostStrategy
DR_ZONE_1_12_CNT_ZONE_1,DST_ZONE_1,RT_CALL_12CNT,*up,4,,
DR_ZONE_1_12_CNT_ZONE_EXPERT,DST_ZONE_TARIFF_EXPERT,RT_CALL_29CNT,*up,4,,
DR_ZONE_1_SMS_ZONE_1,DST_ZONE_1,RT_SMS_10CNT,*up,4,,
DR_ZONE_1_SMS_ZONE_EXPERT,DST_ZONE_TARIFF_EXPERT,RT_SMS_60CNT,*up,4,,
DR_ZONE_1_MMS,DST_ZONE_1,RT_MMS,*up,4,,
DR_ZONE_1_DATA,DST_ZONE_1,RT_DATA,*up,4,,
DR_ZONE_1_50_CNT_ZONE_1,DST_ZONE_1,RT_CALL_50CNT,*up,4,,
DR_ZONE_1_100_CNT_ZONE_EXPERT,DST_ZONE_TARIFF_EXPERT,RT_CALL_100CNT,*up,4,,
DR_ZONE_TARIFF_EXPERT_150_CNT_ZONE_1,DST_ZONE_1,RT_CALL_150CNT,*up,4,,
DR_ZONE_TARIFF_EXPERT_200_CNT_ZONE_EXPERT,DST_ZONE_TARIFF_EXPERT,RT_CALL_200CNT,*up,4,,
