#Id,DestinationRatesId,TimingTag,Weight
ZONE_NATIONAL_CALL_0CNT_0CNT,ZONE_NATIONAL_CALL_0CNT_0CNT,*any,0
ZONE_NATIONAL_CALL_50CNT_150CNT,ZONE_NATIONAL_CALL_50CNT_150CNT,*any,0
ZONE_NATIONAL_CALL_50CNT_260CNT,ZONE_NATIONAL_CALL_50CNT_260CNT,*any,0
ZONE_1_CALL_0CNT_0CNT,ZONE_1_CALL_0CNT_0CNT,*any,0
ZONE_1_CALL_50CNT_150CNT,ZONE_1_CALL_50CNT_150CNT,*any,0
ZONE_1_CALL_50CNT_260CNT,ZONE_1_CALL_50CNT_260CNT,*any,0
ZONE_2_CALL_50CNT_150CNT,ZONE_2_CALL_50CNT_150CNT,*any,0
ZONE_2_CALL_50CNT_260CNT,ZONE_2_CALL_50CNT_260CNT,*any,0
ZONE_3_CALL_50CNT_260CNT,ZONE_3_CALL_50CNT_260CNT,*any,0
AFGANISTAN_CALL,AFGANISTAN_CALL,*any,0
ALBANIA_CALL,ALBANIA_CALL,*any,0
ALBANIA_CELL_CALL,ALBANIA_CELL_CALL,*any,0
ALEMANIA_CALL,ALEMANIA_CALL,*any,0
ALEMANIA_CELL_CALL,ALEMANIA_CELL_CALL,*any,0
ANDORRA_CALL,ANDORRA_CALL,*any,0
ANDORRA_CELL_CALL,ANDORRA_CELL_CALL,*any,0
ANGOLA_CALL,ANGOLA_CALL,*any,0
ANGOLA_CELL_CALL,ANGOLA_CELL_CALL,*any,0
ANGUILLA_CALL,ANGUILLA_CALL,*any,0
ANTARTIDA_CALL,ANTARTIDA_CALL,*any,0
ANTIGUA_Y_BARBUDA_CALL,ANTIGUA_Y_BARBUDA_CALL,*any,0
ANTIGUA_Y_BARBUDA_CELL_CALL,ANTIGUA_Y_BARBUDA_CELL_CALL,*any,0
ANTILLAS_HOLANDESAS_CALL,ANTILLAS_HOLANDESAS_CALL,*any,0
ANTILLAS_HOLANDESAS_CELL_CALL,ANTILLAS_HOLANDESAS_CELL_CALL,*any,0
ARABIA_SAUDI_CALL,ARABIA_SAUDI_CALL,*any,0
ARABIA_SAUDI_CELL_CALL,ARABIA_SAUDI_CELL_CALL,*any,0
ARGELIA_CALL,ARGELIA_CALL,*any,0
ARGELIA_CELL_CALL,ARGELIA_CELL_CALL,*any,0
ARGENTINA_CALL,ARGENTINA_CALL,*any,0
ARGENTINA_CELL_CALL,ARGENTINA_CELL_CALL,*any,0
ARMENIA_CALL,ARMENIA_CALL,*any,0
ARMENIA_CELL_CALL,ARMENIA_CELL_CALL,*any,0
ARUBA_CALL,ARUBA_CALL,*any,0
AUSTRALIA_CALL,AUSTRALIA_CALL,*any,0
AUSTRALIA_CELL_CALL,AUSTRALIA_CELL_CALL,*any,0
AUSTRIA_CALL,AUSTRIA_CALL,*any,0
AUSTRIA_CELL_CALL,AUSTRIA_CELL_CALL,*any,0
AZERBAIYAN_CALL,AZERBAIYAN_CALL,*any,0
AZERBAIYAN_CELL_CALL,AZERBAIYAN_CELL_CALL,*any,0
BAHAMAS_CALL,BAHAMAS_CALL,*any,0
BAHRAIN_CALL,BAHRAIN_CALL,*any,0
BAHRAIN_CELL_CALL,BAHRAIN_CELL_CALL,*any,0
BANGLADESH_CALL,BANGLADESH_CALL,*any,0
BANGLADESH_CELL_CALL,BANGLADESH_CELL_CALL,*any,0
BARBADOS_CALL,BARBADOS_CALL,*any,0
BARBADOS_CELL_CALL,BARBADOS_CELL_CALL,*any,0
BELGICA_CALL,BELGICA_CALL,*any,0
BELGICA_CELL_CALL,BELGICA_CELL_CALL,*any,0
BELIZE_CALL,BELIZE_CALL,*any,0
BENIN_CALL,BENIN_CALL,*any,0
BERMUDAS_CALL,BERMUDAS_CALL,*any,0
BIELORRUSIA_CALL,BIELORRUSIA_CALL,*any,0
BIELORRUSIA_CELL_CALL,BIELORRUSIA_CELL_CALL,*any,0
BOLIVIA_CALL,BOLIVIA_CALL,*any,0
BOLIVIA_CELL_CALL,BOLIVIA_CELL_CALL,*any,0
BOSNIA_HERZEGOVINA_CALL,BOSNIA_HERZEGOVINA_CALL,*any,0
BOSNIA_HERZEGOVINA_CELL_CALL,BOSNIA_HERZEGOVINA_CELL_CALL,*any,0
BOTSWANA_CALL,BOTSWANA_CALL,*any,0
BOTSWANA_CELL_CALL,BOTSWANA_CELL_CALL,*any,0
BRASIL_CALL,BRASIL_CALL,*any,0
BRASIL_CELL_CALL,BRASIL_CELL_CALL,*any,0
BRUNEI_CALL,BRUNEI_CALL,*any,0
BRUNEI_CELL_CALL,BRUNEI_CELL_CALL,*any,0
BULGARIA_CALL,BULGARIA_CALL,*any,0
BULGARIA_CELL_CALL,BULGARIA_CELL_CALL,*any,0
BURKINA_FASO_CALL,BURKINA_FASO_CALL,*any,0
BURUNDI_CALL,BURUNDI_CALL,*any,0
BURUNDI_CELL_CALL,BURUNDI_CELL_CALL,*any,0
BUTAN_CALL,BUTAN_CALL,*any,0
CABO_VERDE_CALL,CABO_VERDE_CALL,*any,0
CABO_VERDE_CELL_CALL,CABO_VERDE_CELL_CALL,*any,0
CAMBOYA_CALL,CAMBOYA_CALL,*any,0
CAMBOYA_CELL_CALL,CAMBOYA_CELL_CALL,*any,0
CAMERUN_CALL,CAMERUN_CALL,*any,0
CAMERUN_CELL_CALL,CAMERUN_CELL_CALL,*any,0
CANADA_CALL,CANADA_CALL,*any,0
CHAD_CALL,CHAD_CALL,*any,0
CHILE_CALL,CHILE_CALL,*any,0
CHILE_CELL_CALL,CHILE_CELL_CALL,*any,0
CHINA_CALL,CHINA_CALL,*any,0
CHINA_CELL_CALL,CHINA_CELL_CALL,*any,0
CHIPRE_GRECIA_CALL,CHIPRE_GRECIA_CALL,*any,0
CHIPRE_GRECIA_CELL_CALL,CHIPRE_GRECIA_CELL_CALL,*any,0
CHIPRE_TURQUIA_CALL,CHIPRE_TURQUIA_CALL,*any,0
COLOMBIA_CALL,COLOMBIA_CALL,*any,0
COLOMBIA_CELL_CALL,COLOMBIA_CELL_CALL,*any,0
COMORES_CALL,COMORES_CALL,*any,0
COREA_DEL_NORTE_CALL,COREA_DEL_NORTE_CALL,*any,0
COREA_DEL_SUR_CALL,COREA_DEL_SUR_CALL,*any,0
COREA_DEL_SUR_CELL_CALL,COREA_DEL_SUR_CELL_CALL,*any,0
COSTA_DE_MARFIL_CALL,COSTA_DE_MARFIL_CALL,*any,0
COSTA_DE_MARFIL_CELL_CALL,COSTA_DE_MARFIL_CELL_CALL,*any,0
COSTA_RICA_CALL,COSTA_RICA_CALL,*any,0
COSTA_RICA_CELL_CALL,COSTA_RICA_CELL_CALL,*any,0
CROACIA_CALL,CROACIA_CALL,*any,0
CROACIA_CELL_CALL,CROACIA_CELL_CALL,*any,0
CUBA_CALL,CUBA_CALL,*any,0
DIEGO_GARCIA_CALL,DIEGO_GARCIA_CALL,*any,0
DINAMARCA_CALL,DINAMARCA_CALL,*any,0
DINAMARCA_CELL_CALL,DINAMARCA_CELL_CALL,*any,0
DJIBOUTI_CALL,DJIBOUTI_CALL,*any,0
DJIBOUTI_CELL_CALL,DJIBOUTI_CELL_CALL,*any,0
DOMINICA_CALL,DOMINICA_CALL,*any,0
DOMINICA_CELL_CALL,DOMINICA_CELL_CALL,*any,0
ECUADOR_CALL,ECUADOR_CALL,*any,0
ECUADOR_CELL_CALL,ECUADOR_CELL_CALL,*any,0
EGIPTO_CALL,EGIPTO_CALL,*any,0
EGIPTO_CELL_CALL,EGIPTO_CELL_CALL,*any,0
EL_SALVADOR_CALL,EL_SALVADOR_CALL,*any,0
EL_SALVADOR_CELL_CALL,EL_SALVADOR_CELL_CALL,*any,0
EMIRATOS_ARABES_UNIDOS_CELL_CALL,EMIRATOS_ARABES_UNIDOS_CELL_CALL,*any,0
ERITREA_CALL,ERITREA_CALL,*any,0
ESLOVAQUIA_CALL,ESLOVAQUIA_CALL,*any,0
ESLOVAQUIA_CELL_CALL,ESLOVAQUIA_CELL_CALL,*any,0
ESLOVENIA_CALL,ESLOVENIA_CALL,*any,0
ESLOVENIA_CELL_CALL,ESLOVENIA_CELL_CALL,*any,0
ESTADOS_UNIDOS_DE_AMERICA_CALL,ESTADOS_UNIDOS_DE_AMERICA_CALL,*any,0
ESTONIA_CALL,ESTONIA_CALL,*any,0
ESTONIA_CELL_CALL,ESTONIA_CELL_CALL,*any,0
ETIOPIA_CALL,ETIOPIA_CALL,*any,0
ETIOPIA_CELL_CALL,ETIOPIA_CELL_CALL,*any,0
FILIPINAS_CALL,FILIPINAS_CALL,*any,0
FILIPINAS_CELL_CALL,FILIPINAS_CELL_CALL,*any,0
FINLANDIA_CALL,FINLANDIA_CALL,*any,0
FINLANDIA_CELL_CALL,FINLANDIA_CELL_CALL,*any,0
FRANCIA_CALL,FRANCIA_CALL,*any,0
FRANCIA_CELL_CALL,FRANCIA_CELL_CALL,*any,0
GABON_CALL,GABON_CALL,*any,0
GABON_CELL_CALL,GABON_CELL_CALL,*any,0
GAMBIA_CALL,GAMBIA_CALL,*any,0
GAMBIA_CELL_CALL,GAMBIA_CELL_CALL,*any,0
GEORGIA_CALL,GEORGIA_CALL,*any,0
GEORGIA_CELL_CALL,GEORGIA_CELL_CALL,*any,0
GHANA_CALL,GHANA_CALL,*any,0
GHANA_CELL_CALL,GHANA_CELL_CALL,*any,0
GIBRALTAR_CALL,GIBRALTAR_CALL,*any,0
GIBRALTAR_CELL_CALL,GIBRALTAR_CELL_CALL,*any,0
GRECIA_CALL,GRECIA_CALL,*any,0
GRECIA_CELL_CALL,GRECIA_CELL_CALL,*any,0
GROENLANDIA_CALL,GROENLANDIA_CALL,*any,0
GROENLANDIA_CELL_CALL,GROENLANDIA_CELL_CALL,*any,0
GUADALUPE_CALL,GUADALUPE_CALL,*any,0
GUADALUPE_CELL_CALL,GUADALUPE_CELL_CALL,*any,0
GUAM_CALL,GUAM_CALL,*any,0
GUATEMALA_CALL,GUATEMALA_CALL,*any,0
GUATEMALA_CELL_CALL,GUATEMALA_CELL_CALL,*any,0
GUAYANA_FRANCESA_CALL,GUAYANA_FRANCESA_CALL,*any,0
GUAYANA_FRANCESA_CELL_CALL,GUAYANA_FRANCESA_CELL_CALL,*any,0
GUINEA_CALL,GUINEA_CALL,*any,0
