#Tenant,Category,Subject,ActivationTime,RatingPlanId,RatesFallbackSubject
masmovil,call,DEFAULT_ZONE_NATIONAL,2019-01-01T00:00:00Z,ZONE_NATIONAL_CALL_0CNT_0CNT,
masmovil,call,DEFAULT_ZONE_1,2019-01-01T00:00:00Z,ZONE_NATIONAL_CALL_0CNT_0CNT,
masmovil,call,DEFAULT_ZONE_1,2019-01-01T00:00:00Z,ZONE_1_CALL_0CNT_0CNT,
masmovil,call,DEFAULT_ZONE_1,2019-01-01T00:00:00Z,ZONE_2_CALL_50CNT_150CNT,
masmovil,call,DEFAULT_ZONE_1,2019-01-01T00:00:00Z,ZONE_3_CALL_50CNT_260CNT,
masmovil,call,DEFAULT_ZONE_2,2019-01-01T00:00:00Z,ZONE_NATIONAL_CALL_50CNT_150CNT,
masmovil,call,DEFAULT_ZONE_2,2019-01-01T00:00:00Z,ZONE_1_CALL_50CNT_150CNT,
masmovil,call,DEFAULT_ZONE_2,2019-01-01T00:00:00Z,ZONE_2_CALL_50CNT_150CNT,
masmovil,call,DEFAULT_ZONE_2,2019-01-01T00:00:00Z,ZONE_3_CALL_50CNT_260CNT,
masmovil,call,DEFAULT_ZONE_3,2019-01-01T00:00:00Z,ZONE_NATIONAL_CALL_50CNT_260CNT,
masmovil,call,DEFAULT_ZONE_3,2019-01-01T00:00:00Z,ZONE_1_CALL_50CNT_260CNT,
masmovil,call,DEFAULT_ZONE_3,2019-01-01T00:00:00Z,ZONE_2_CALL_50CNT_260CNT,
masmovil,call,DEFAULT_ZONE_3,2019-01-01T00:00:00Z,ZONE_3_CALL_50CNT_260CNT,
masmovil,sms,DEFAULT_ZONE_NATIONAL,2019-01-01T00:00:00Z,ZONE_NATIONAL_SMS_8CNT,
masmovil,sms,DEFAULT_ZONE_NATIONAL,2019-01-01T00:00:00Z,ZONE_1_SMS_6CNT,
masmovil,sms,DEFAULT_ZONE_NATIONAL,2019-01-01T00:00:00Z,ZONE_2_SMS_25CNT,
masmovil,sms,DEFAULT_ZONE_NATIONAL,2019-01-01T00:00:00Z,ZONE_3_SMS_25CNT,
masmovil,sms,DEFAULT_ZONE_1,2019-01-01T00:00:00Z,ZONE_NATIONAL_SMS_8CNT,
masmovil,sms,DEFAULT_ZONE_1,2019-01-01T00:00:00Z,ZONE_1_SMS_8CNT,
masmovil,sms,DEFAULT_ZONE_1,2019-01-01T00:00:00Z,ZONE_2_SMS_60CNT,
masmovil,sms,DEFAULT_ZONE_1,2019-01-01T00:00:00Z,ZONE_3_SMS_60CNT,
masmovil,sms,DEFAULT_ZONE_2,2019-01-01T00:00:00Z,ZONE_NATIONAL_SMS_60CNT,
masmovil,sms,DEFAULT_ZONE_2,2019-01-01T00:00:00Z,ZONE_1_SMS_60CNT,
masmovil,sms,DEFAULT_ZONE_2,2019-01-01T00:00:00Z,ZONE_2_SMS_60CNT,
masmovil,sms,DEFAULT_ZONE_2,2019-01-01T00:00:00Z,ZONE_3_SMS_60CNT,
masmovil,sms,DEFAULT_ZONE_3,2019-01-01T00:00:00Z,ZONE_NATIONAL_SMS_60CNT,
masmovil,sms,DEFAULT_ZONE_3,2019-01-01T00:00:00Z,ZONE_1_SMS_60CNT,
masmovil,sms,DEFAULT_ZONE_3,2019-01-01T00:00:00Z,ZONE_2_SMS_60CNT,
masmovil,sms,DEFAULT_ZONE_3,2019-01-01T00:00:00Z,ZONE_3_SMS_60CNT,
masmovil,data,DEFAULT_ZONE_NATIONAL,2019-01-01T00:00:00Z,DATA_1MB_0CNT,
masmovil,data,DEFAULT_ZONE_1,2019-01-01T00:00:00Z,DATA_1MB_0CNT,
masmovil,data,DEFAULT_ZONE_2,2019-01-01T00:00:00Z,DATA_1MB_500CNT,
masmovil,data,DEFAULT_ZONE_3,2019-01-01T00:00:00Z,DATA_1MB_500CNT,
